"Country or Area","Year","Area","Age of husband","Age of wife","Source Year","Value","Value Footnotes"
"Egypt","2022","Total","Total","Total","2024","258757","1"
"Egypt","2022","Total","Total","18 - 19","2024","8911","1"
"Egypt","2022","Total","Total","20 - 24","2024","40042","1"
"Egypt","2022","Total","Total","25 - 29","2024","44784","1"
"Egypt","2022","Total","Total","30 - 34","2024","43397","1"
"Egypt","2022","Total","Total","35 - 39","2024","42487","1"
"Egypt","2022","Total","Total","40 - 44","2024","32364","1"
"Egypt","2022","Total","Total","45 - 49","2024","21531","1"
"Egypt","2022","Total","Total","50 - 54","2024","12402","1"
"Egypt","2022","Total","Total","55 - 59","2024","7065","1"
"Egypt","2022","Total","Total","60 - 64","2024","3896","1"
"Egypt","2022","Total","Total","65 - 69","2024","1286","1"
"Egypt","2022","Total","Total","70 - 74","2024","379","1"
"Egypt","2022","Total","Total","75 +","2024","213","1"
"Egypt","2022","Total","18 - 19","Total","2024","269","1"
"Egypt","2022","Total","18 - 19","18 - 19","2024","141","1"
"Egypt","2022","Total","18 - 19","20 - 24","2024","108","1"
"Egypt","2022","Total","18 - 19","25 - 29","2024","11","1"
"Egypt","2022","Total","18 - 19","30 - 34","2024","4","1"
"Egypt","2022","Total","18 - 19","35 - 39","2024","2","1"
"Egypt","2022","Total","18 - 19","40 - 44","2024","2","1"
"Egypt","2022","Total","18 - 19","45 - 49","2024","0","1"
"Egypt","2022","Total","18 - 19","50 - 54","2024","0","1"
"Egypt","2022","Total","18 - 19","55 - 59","2024","0","1"
"Egypt","2022","Total","18 - 19","60 - 64","2024","0","1"
"Egypt","2022","Total","18 - 19","65 - 69","2024","1","1"
"Egypt","2022","Total","18 - 19","70 - 74","2024","0","1"
"Egypt","2022","Total","18 - 19","75 +","2024","0","1"
"Egypt","2022","Total","20 - 24","Total","2024","8764","1"
"Egypt","2022","Total","20 - 24","18 - 19","2024","1984","1"
"Egypt","2022","Total","20 - 24","20 - 24","2024","5465","1"
"Egypt","2022","Total","20 - 24","25 - 29","2024","829","1"
"Egypt","2022","Total","20 - 24","30 - 34","2024","280","1"
"Egypt","2022","Total","20 - 24","35 - 39","2024","123","1"
"Egypt","2022","Total","20 - 24","40 - 44","2024","53","1"
"Egypt","2022","Total","20 - 24","45 - 49","2024","12","1"
"Egypt","2022","Total","20 - 24","50 - 54","2024","12","1"
"Egypt","2022","Total","20 - 24","55 - 59","2024","0","1"
"Egypt","2022","Total","20 - 24","60 - 64","2024","2","1"
"Egypt","2022","Total","20 - 24","65 - 69","2024","2","1"
"Egypt","2022","Total","20 - 24","70 - 74","2024","0","1"
"Egypt","2022","Total","20 - 24","75 +","2024","2","1"
"Egypt","2022","Total","25 - 29","Total","2024","32585","1"
"Egypt","2022","Total","25 - 29","18 - 19","2024","3632","1"
"Egypt","2022","Total","25 - 29","20 - 24","2024","15565","1"
"Egypt","2022","Total","25 - 29","25 - 29","2024","10007","1"
"Egypt","2022","Total","25 - 29","30 - 34","2024","1905","1"
"Egypt","2022","Total","25 - 29","35 - 39","2024","849","1"
"Egypt","2022","Total","25 - 29","40 - 44","2024","321","1"
"Egypt","2022","Total","25 - 29","45 - 49","2024","177","1"
"Egypt","2022","Total","25 - 29","50 - 54","2024","74","1"
"Egypt","2022","Total","25 - 29","55 - 59","2024","34","1"
"Egypt","2022","Total","25 - 29","60 - 64","2024","16","1"
"Egypt","2022","Total","25 - 29","65 - 69","2024","2","1"
"Egypt","2022","Total","25 - 29","70 - 74","2024","0","1"
"Egypt","2022","Total","25 - 29","75 +","2024","3","1"
"Egypt","2022","Total","30 - 34","Total","2024","48520","1"
"Egypt","2022","Total","30 - 34","18 - 19","2024","1916","1"
"Egypt","2022","Total","30 - 34","20 - 24","2024","11900","1"
"Egypt","2022","Total","30 - 34","25 - 29","2024","18156","1"
"Egypt","2022","Total","30 - 34","30 - 34","2024","11877","1"
"Egypt","2022","Total","30 - 34","35 - 39","2024","2948","1"
"Egypt","2022","Total","30 - 34","40 - 44","2024","1000","1"
"Egypt","2022","Total","30 - 34","45 - 49","2024","401","1"
"Egypt","2022","Total","30 - 34","50 - 54","2024","157","1"
"Egypt","2022","Total","30 - 34","55 - 59","2024","96","1"
"Egypt","2022","Total","30 - 34","60 - 64","2024","42","1"
"Egypt","2022","Total","30 - 34","65 - 69","2024","9","1"
"Egypt","2022","Total","30 - 34","70 - 74","2024","4","1"
"Egypt","2022","Total","30 - 34","75 +","2024","14","1"
"Egypt","2022","Total","35 - 39","Total","2024","47731","1"
"Egypt","2022","Total","35 - 39","18 - 19","2024","575","1"
"Egypt","2022","Total","35 - 39","20 - 24","2024","4303","1"
"Egypt","2022","Total","35 - 39","25 - 29","2024","10155","1"
"Egypt","2022","Total","35 - 39","30 - 34","2024","16024","1"
"Egypt","2022","Total","35 - 39","35 - 39","2024","12157","1"
"Egypt","2022","Total","35 - 39","40 - 44","2024","2997","1"
"Egypt","2022","Total","35 - 39","45 - 49","2024","848","1"
"Egypt","2022","Total","35 - 39","50 - 54","2024","372","1"
"Egypt","2022","Total","35 - 39","55 - 59","2024","127","1"
"Egypt","2022","Total","35 - 39","60 - 64","2024","138","1"
"Egypt","2022","Total","35 - 39","65 - 69","2024","25","1"
"Egypt","2022","Total","35 - 39","70 - 74","2024","4","1"
"Egypt","2022","Total","35 - 39","75 +","2024","6","1"
"Egypt","2022","Total","40 - 44","Total","2024","36792","1"
"Egypt","2022","Total","40 - 44","18 - 19","2024","147","1"
"Egypt","2022","Total","40 - 44","20 - 24","2024","1100","1"
"Egypt","2022","Total","40 - 44","25 - 29","2024","3192","1"
"Egypt","2022","Total","40 - 44","30 - 34","2024","7830","1"
"Egypt","2022","Total","40 - 44","35 - 39","2024","13707","1"
"Egypt","2022","Total","40 - 44","40 - 44","2024","8005","1"
"Egypt","2022","Total","40 - 44","45 - 49","2024","1882","1"
"Egypt","2022","Total","40 - 44","50 - 54","2024","615","1"
"Egypt","2022","Total","40 - 44","55 - 59","2024","140","1"
"Egypt","2022","Total","40 - 44","60 - 64","2024","135","1"
"Egypt","2022","Total","40 - 44","65 - 69","2024","21","1"
"Egypt","2022","Total","40 - 44","70 - 74","2024","7","1"
"Egypt","2022","Total","40 - 44","75 +","2024","11","1"
"Egypt","2022","Total","45 - 49","Total","2024","27396","1"
"Egypt","2022","Total","45 - 49","18 - 19","2024","394","1"
"Egypt","2022","Total","45 - 49","20 - 24","2024","1061","1"
"Egypt","2022","Total","45 - 49","25 - 29","2024","1224","1"
"Egypt","2022","Total","45 - 49","30 - 34","2024","2768","1"
"Egypt","2022","Total","45 - 49","35 - 39","2024","6836","1"
"Egypt","2022","Total","45 - 49","40 - 44","2024","9060","1"
"Egypt","2022","Total","45 - 49","45 - 49","2024","4731","1"
"Egypt","2022","Total","45 - 49","50 - 54","2024","936","1"
"Egypt","2022","Total","45 - 49","55 - 59","2024","273","1"
"Egypt","2022","Total","45 - 49","60 - 64","2024","79","1"
"Egypt","2022","Total","45 - 49","65 - 69","2024","28","1"
"Egypt","2022","Total","45 - 49","70 - 74","2024","1","1"
"Egypt","2022","Total","45 - 49","75 +","2024","5","1"
"Egypt","2022","Total","50 - 54","Total","2024","20479","1"
"Egypt","2022","Total","50 - 54","18 - 19","2024","37","1"
"Egypt","2022","Total","50 - 54","20 - 24","2024","220","1"
"Egypt","2022","Total","50 - 54","25 - 29","2024","489","1"
"Egypt","2022","Total","50 - 54","30 - 34","2024","1271","1"
"Egypt","2022","Total","50 - 54","35 - 39","2024","3017","1"
"Egypt","2022","Total","50 - 54","40 - 44","2024","5822","1"
"Egypt","2022","Total","50 - 54","45 - 49","2024","6019","1"
"Egypt","2022","Total","50 - 54","50 - 54","2024","2733","1"
"Egypt","2022","Total","50 - 54","55 - 59","2024","615","1"
"Egypt","2022","Total","50 - 54","60 - 64","2024","178","1"
"Egypt","2022","Total","50 - 54","65 - 69","2024","55","1"
"Egypt","2022","Total","50 - 54","70 - 74","2024","18","1"
"Egypt","2022","Total","50 - 54","75 +","2024","5","1"
"Egypt","2022","Total","55 - 59","Total","2024","15194","1"
"Egypt","2022","Total","55 - 59","18 - 19","2024","60","1"
"Egypt","2022","Total","55 - 59","20 - 24","2024","165","1"
"Egypt","2022","Total","55 - 59","25 - 29","2024","362","1"
"Egypt","2022","Total","55 - 59","30 - 34","2024","733","1"
"Egypt","2022","Total","55 - 59","35 - 39","2024","1329","1"
"Egypt","2022","Total","55 - 59","40 - 44","2024","2768","1"
"Egypt","2022","Total","55 - 59","45 - 49","2024","4114","1"
"Egypt","2022","Total","55 - 59","50 - 54","2024","3480","1"
"Egypt","2022","Total","55 - 59","55 - 59","2024","1690","1"
"Egypt","2022","Total","55 - 59","60 - 64","2024","384","1"
"Egypt","2022","Total","55 - 59","65 - 69","2024","83","1"
"Egypt","2022","Total","55 - 59","70 - 74","2024","19","1"
"Egypt","2022","Total","55 - 59","75 +","2024","7","1"
"Egypt","2022","Total","60 - 64","Total","2024","10342","1"
"Egypt","2022","Total","60 - 64","18 - 19","2024","10","1"
"Egypt","2022","Total","60 - 64","20 - 24","2024","66","1"
"Egypt","2022","Total","60 - 64","25 - 29","2024","177","1"
"Egypt","2022","Total","60 - 64","30 - 34","2024","385","1"
"Egypt","2022","Total","60 - 64","35 - 39","2024","851","1"
"Egypt","2022","Total","60 - 64","40 - 44","2024","1248","1"
"Egypt","2022","Total","60 - 64","45 - 49","2024","1848","1"
"Egypt","2022","Total","60 - 64","50 - 54","2024","2395","1"
"Egypt","2022","Total","60 - 64","55 - 59","2024","2128","1"
"Egypt","2022","Total","60 - 64","60 - 64","2024","1052","1"
"Egypt","2022","Total","60 - 64","65 - 69","2024","141","1"
"Egypt","2022","Total","60 - 64","70 - 74","2024","36","1"
"Egypt","2022","Total","60 - 64","75 +","2024","5","1"
"Egypt","2022","Total","65 - 69","Total","2024","5683","1"
"Egypt","2022","Total","65 - 69","18 - 19","2024","12","1"
"Egypt","2022","Total","65 - 69","20 - 24","2024","51","1"
"Egypt","2022","Total","65 - 69","25 - 29","2024","113","1"
"Egypt","2022","Total","65 - 69","30 - 34","2024","172","1"
"Egypt","2022","Total","65 - 69","35 - 39","2024","352","1"
"Egypt","2022","Total","65 - 69","40 - 44","2024","558","1"
"Egypt","2022","Total","65 - 69","45 - 49","2024","807","1"
"Egypt","2022","Total","65 - 69","50 - 54","2024","927","1"
"Egypt","2022","Total","65 - 69","55 - 59","2024","1136","1"
"Egypt","2022","Total","65 - 69","60 - 64","2024","1084","1"
"Egypt","2022","Total","65 - 69","65 - 69","2024","413","1"
"Egypt","2022","Total","65 - 69","70 - 74","2024","54","1"
"Egypt","2022","Total","65 - 69","75 +","2024","4","1"
"Egypt","2022","Total","70 - 74","Total","2024","2975","1"
"Egypt","2022","Total","70 - 74","18 - 19","2024","3","1"
"Egypt","2022","Total","70 - 74","20 - 24","2024","22","1"
"Egypt","2022","Total","70 - 74","25 - 29","2024","44","1"
"Egypt","2022","Total","70 - 74","30 - 34","2024","88","1"
"Egypt","2022","Total","70 - 74","35 - 39","2024","185","1"
"Egypt","2022","Total","70 - 74","40 - 44","2024","311","1"
"Egypt","2022","Total","70 - 74","45 - 49","2024","462","1"
"Egypt","2022","Total","70 - 74","50 - 54","2024","443","1"
"Egypt","2022","Total","70 - 74","55 - 59","2024","500","1"
"Egypt","2022","Total","70 - 74","60 - 64","2024","480","1"
"Egypt","2022","Total","70 - 74","65 - 69","2024","300","1"
"Egypt","2022","Total","70 - 74","70 - 74","2024","107","1"
"Egypt","2022","Total","70 - 74","75 +","2024","30","1"
"Egypt","2022","Total","75 +","Total","2024","2027","1"
"Egypt","2022","Total","75 +","18 - 19","2024","0","1"
"Egypt","2022","Total","75 +","20 - 24","2024","16","1"
"Egypt","2022","Total","75 +","25 - 29","2024","25","1"
"Egypt","2022","Total","75 +","30 - 34","2024","60","1"
"Egypt","2022","Total","75 +","35 - 39","2024","131","1"
"Egypt","2022","Total","75 +","40 - 44","2024","219","1"
"Egypt","2022","Total","75 +","45 - 49","2024","230","1"
"Egypt","2022","Total","75 +","50 - 54","2024","258","1"
"Egypt","2022","Total","75 +","55 - 59","2024","326","1"
"Egypt","2022","Total","75 +","60 - 64","2024","306","1"
"Egypt","2022","Total","75 +","65 - 69","2024","206","1"
"Egypt","2022","Total","75 +","70 - 74","2024","129","1"
"Egypt","2022","Total","75 +","75 +","2024","121","1"
"Egypt","2021","Total","Total","Total","2023","243583","1"
"Egypt","2021","Total","Total","18 - 19","2023","9031","1"
"Egypt","2021","Total","Total","20 - 24","2023","39522","1"
"Egypt","2021","Total","Total","25 - 29","2023","43427","1"
"Egypt","2021","Total","Total","30 - 34","2023","43025","1"
"Egypt","2021","Total","Total","35 - 39","2023","38031","1"
"Egypt","2021","Total","Total","40 - 44","2023","29375","1"
"Egypt","2021","Total","Total","45 - 49","2023","18552","1"
"Egypt","2021","Total","Total","50 - 54","2023","11090","1"
"Egypt","2021","Total","Total","55 - 59","2023","6639","1"
"Egypt","2021","Total","Total","60 - 64","2023","3254","1"
"Egypt","2021","Total","Total","65 - 69","2023","1087","1"
"Egypt","2021","Total","Total","70 - 74","2023","396","1"
"Egypt","2021","Total","Total","75 +","2023","154","1"
"Egypt","2021","Total","18 - 19","Total","2023","390","1"
"Egypt","2021","Total","18 - 19","18 - 19","2023","214","1"
"Egypt","2021","Total","18 - 19","20 - 24","2023","138","1"
"Egypt","2021","Total","18 - 19","25 - 29","2023","12","1"
"Egypt","2021","Total","18 - 19","30 - 34","2023","12","1"
"Egypt","2021","Total","18 - 19","35 - 39","2023","8","1"
"Egypt","2021","Total","18 - 19","40 - 44","2023","4","1"
"Egypt","2021","Total","18 - 19","45 - 49","2023","2","1"
"Egypt","2021","Total","18 - 19","50 - 54","2023","0","1"
"Egypt","2021","Total","18 - 19","55 - 59","2023","0","1"
"Egypt","2021","Total","18 - 19","60 - 64","2023","0","1"
"Egypt","2021","Total","18 - 19","65 - 69","2023","0","1"
"Egypt","2021","Total","18 - 19","70 - 74","2023","0","1"
"Egypt","2021","Total","18 - 19","75 +","2023","0","1"
"Egypt","2021","Total","20 - 24","Total","2023","10736","1"
"Egypt","2021","Total","20 - 24","18 - 19","2023","2655","1"
"Egypt","2021","Total","20 - 24","20 - 24","2023","6438","1"
"Egypt","2021","Total","20 - 24","25 - 29","2023","1039","1"
"Egypt","2021","Total","20 - 24","30 - 34","2023","345","1"
"Egypt","2021","Total","20 - 24","35 - 39","2023","136","1"
"Egypt","2021","Total","20 - 24","40 - 44","2023","71","1"
"Egypt","2021","Total","20 - 24","45 - 49","2023","34","1"
"Egypt","2021","Total","20 - 24","50 - 54","2023","4","1"
"Egypt","2021","Total","20 - 24","55 - 59","2023","10","1"
"Egypt","2021","Total","20 - 24","60 - 64","2023","4","1"
"Egypt","2021","Total","20 - 24","65 - 69","2023","0","1"
"Egypt","2021","Total","20 - 24","70 - 74","2023","0","1"
"Egypt","2021","Total","20 - 24","75 +","2023","0","1"
"Egypt","2021","Total","25 - 29","Total","2023","32110","1"
"Egypt","2021","Total","25 - 29","18 - 19","2023","3642","1"
"Egypt","2021","Total","25 - 29","20 - 24","2023","15247","1"
"Egypt","2021","Total","25 - 29","25 - 29","2023","9932","1"
"Egypt","2021","Total","25 - 29","30 - 34","2023","2009","1"
"Egypt","2021","Total","25 - 29","35 - 39","2023","720","1"
"Egypt","2021","Total","25 - 29","40 - 44","2023","275","1"
"Egypt","2021","Total","25 - 29","45 - 49","2023","148","1"
"Egypt","2021","Total","25 - 29","50 - 54","2023","73","1"
"Egypt","2021","Total","25 - 29","55 - 59","2023","38","1"
"Egypt","2021","Total","25 - 29","60 - 64","2023","14","1"
"Egypt","2021","Total","25 - 29","65 - 69","2023","7","1"
"Egypt","2021","Total","25 - 29","70 - 74","2023","1","1"
"Egypt","2021","Total","25 - 29","75 +","2023","4","1"
"Egypt","2021","Total","30 - 34","Total","2023","48342","1"
"Egypt","2021","Total","30 - 34","18 - 19","2023","1862","1"
"Egypt","2021","Total","30 - 34","20 - 24","2023","11882","1"
"Egypt","2021","Total","30 - 34","25 - 29","2023","17921","1"
"Egypt","2021","Total","30 - 34","30 - 34","2023","12001","1"
"Egypt","2021","Total","30 - 34","35 - 39","2023","2923","1"
"Egypt","2021","Total","30 - 34","40 - 44","2023","1026","1"
"Egypt","2021","Total","30 - 34","45 - 49","2023","421","1"
"Egypt","2021","Total","30 - 34","50 - 54","2023","165","1"
"Egypt","2021","Total","30 - 34","55 - 59","2023","67","1"
"Egypt","2021","Total","30 - 34","60 - 64","2023","33","1"
"Egypt","2021","Total","30 - 34","65 - 69","2023","10","1"
"Egypt","2021","Total","30 - 34","70 - 74","2023","15","1"
"Egypt","2021","Total","30 - 34","75 +","2023","16","1"
"Egypt","2021","Total","35 - 39","Total","2023","43839","1"
"Egypt","2021","Total","35 - 39","18 - 19","2023","439","1"
"Egypt","2021","Total","35 - 39","20 - 24","2023","3769","1"
"Egypt","2021","Total","35 - 39","25 - 29","2023","9418","1"
"Egypt","2021","Total","35 - 39","30 - 34","2023","15614","1"
"Egypt","2021","Total","35 - 39","35 - 39","2023","10642","1"
"Egypt","2021","Total","35 - 39","40 - 44","2023","2730","1"
"Egypt","2021","Total","35 - 39","45 - 49","2023","675","1"
"Egypt","2021","Total","35 - 39","50 - 54","2023","321","1"
"Egypt","2021","Total","35 - 39","55 - 59","2023","87","1"
"Egypt","2021","Total","35 - 39","60 - 64","2023","112","1"
"Egypt","2021","Total","35 - 39","65 - 69","2023","16","1"
"Egypt","2021","Total","35 - 39","70 - 74","2023","6","1"
"Egypt","2021","Total","35 - 39","75 +","2023","10","1"
"Egypt","2021","Total","40 - 44","Total","2023","33051","1"
"Egypt","2021","Total","40 - 44","18 - 19","2023","119","1"
"Egypt","2021","Total","40 - 44","20 - 24","2023","1117","1"
"Egypt","2021","Total","40 - 44","25 - 29","2023","2955","1"
"Egypt","2021","Total","40 - 44","30 - 34","2023","7646","1"
"Egypt","2021","Total","40 - 44","35 - 39","2023","11913","1"
"Egypt","2021","Total","40 - 44","40 - 44","2023","6935","1"
"Egypt","2021","Total","40 - 44","45 - 49","2023","1627","1"
"Egypt","2021","Total","40 - 44","50 - 54","2023","468","1"
"Egypt","2021","Total","40 - 44","55 - 59","2023","150","1"
"Egypt","2021","Total","40 - 44","60 - 64","2023","95","1"
"Egypt","2021","Total","40 - 44","65 - 69","2023","19","1"
"Egypt","2021","Total","40 - 44","70 - 74","2023","4","1"
"Egypt","2021","Total","40 - 44","75 +","2023","3","1"
"Egypt","2021","Total","45 - 49","Total","2023","23820","1"
"Egypt","2021","Total","45 - 49","18 - 19","2023","32","1"
"Egypt","2021","Total","45 - 49","20 - 24","2023","381","1"
"Egypt","2021","Total","45 - 49","25 - 29","2023","987","1"
"Egypt","2021","Total","45 - 49","30 - 34","2023","2846","1"
"Egypt","2021","Total","45 - 49","35 - 39","2023","6357","1"
"Egypt","2021","Total","45 - 49","40 - 44","2023","8170","1"
"Egypt","2021","Total","45 - 49","45 - 49","2023","3899","1"
"Egypt","2021","Total","45 - 49","50 - 54","2023","794","1"
"Egypt","2021","Total","45 - 49","55 - 59","2023","254","1"
"Egypt","2021","Total","45 - 49","60 - 64","2023","68","1"
"Egypt","2021","Total","45 - 49","65 - 69","2023","18","1"
"Egypt","2021","Total","45 - 49","70 - 74","2023","7","1"
"Egypt","2021","Total","45 - 49","75 +","2023","7","1"
"Egypt","2021","Total","50 - 54","Total","2023","18424","1"
"Egypt","2021","Total","50 - 54","18 - 19","2023","15","1"
"Egypt","2021","Total","50 - 54","20 - 24","2023","255","1"
"Egypt","2021","Total","50 - 54","25 - 29","2023","493","1"
"Egypt","2021","Total","50 - 54","30 - 34","2023","1143","1"
"Egypt","2021","Total","50 - 54","35 - 39","2023","2687","1"
"Egypt","2021","Total","50 - 54","40 - 44","2023","5392","1"
"Egypt","2021","Total","50 - 54","45 - 49","2023","5261","1"
"Egypt","2021","Total","50 - 54","50 - 54","2023","2421","1"
"Egypt","2021","Total","50 - 54","55 - 59","2023","589","1"
"Egypt","2021","Total","50 - 54","60 - 64","2023","126","1"
"Egypt","2021","Total","50 - 54","65 - 69","2023","30","1"
"Egypt","2021","Total","50 - 54","70 - 74","2023","10","1"
"Egypt","2021","Total","50 - 54","75 +","2023","2","1"
"Egypt","2021","Total","55 - 59","Total","2023","13808","1"
"Egypt","2021","Total","55 - 59","18 - 19","2023","28","1"
"Egypt","2021","Total","55 - 59","20 - 24","2023","132","1"
"Egypt","2021","Total","55 - 59","25 - 29","2023","333","1"
"Egypt","2021","Total","55 - 59","30 - 34","2023","659","1"
"Egypt","2021","Total","55 - 59","35 - 39","2023","1351","1"
"Egypt","2021","Total","55 - 59","40 - 44","2023","2606","1"
"Egypt","2021","Total","55 - 59","45 - 49","2023","3490","1"
"Egypt","2021","Total","55 - 59","50 - 54","2023","3133","1"
"Egypt","2021","Total","55 - 59","55 - 59","2023","1687","1"
"Egypt","2021","Total","55 - 59","60 - 64","2023","314","1"
"Egypt","2021","Total","55 - 59","65 - 69","2023","55","1"
"Egypt","2021","Total","55 - 59","70 - 74","2023","15","1"
"Egypt","2021","Total","55 - 59","75 +","2023","5","1"
"Egypt","2021","Total","60 - 64","Total","2023","9010","1"
"Egypt","2021","Total","60 - 64","18 - 19","2023","16","1"
"Egypt","2021","Total","60 - 64","20 - 24","2023","76","1"
"Egypt","2021","Total","60 - 64","25 - 29","2023","167","1"
"Egypt","2021","Total","60 - 64","30 - 34","2023","349","1"
"Egypt","2021","Total","60 - 64","35 - 39","2023","626","1"
"Egypt","2021","Total","60 - 64","40 - 44","2023","1106","1"
"Egypt","2021","Total","60 - 64","45 - 49","2023","1616","1"
"Egypt","2021","Total","60 - 64","50 - 54","2023","2079","1"
"Egypt","2021","Total","60 - 64","55 - 59","2023","1862","1"
"Egypt","2021","Total","60 - 64","60 - 64","2023","921","1"
"Egypt","2021","Total","60 - 64","65 - 69","2023","152","1"
"Egypt","2021","Total","60 - 64","70 - 74","2023","38","1"
"Egypt","2021","Total","60 - 64","75 +","2023","2","1"
"Egypt","2021","Total","65 - 69","Total","2023","5323","1"
"Egypt","2021","Total","65 - 69","18 - 19","2023","9","1"
"Egypt","2021","Total","65 - 69","20 - 24","2023","56","1"
"Egypt","2021","Total","65 - 69","25 - 29","2023","92","1"
"Egypt","2021","Total","65 - 69","30 - 34","2023","213","1"
"Egypt","2021","Total","65 - 69","35 - 39","2023","324","1"
"Egypt","2021","Total","65 - 69","40 - 44","2023","564","1"
"Egypt","2021","Total","65 - 69","45 - 49","2023","809","1"
"Egypt","2021","Total","65 - 69","50 - 54","2023","926","1"
"Egypt","2021","Total","65 - 69","55 - 59","2023","1089","1"
"Egypt","2021","Total","65 - 69","60 - 64","2023","874","1"
"Egypt","2021","Total","65 - 69","65 - 69","2023","295","1"
"Egypt","2021","Total","65 - 69","70 - 74","2023","51","1"
"Egypt","2021","Total","65 - 69","75 +","2023","21","1"
"Egypt","2021","Total","70 - 74","Total","2023","2741","1"
"Egypt","2021","Total","70 - 74","18 - 19","2023","0","1"
"Egypt","2021","Total","70 - 74","20 - 24","2023","19","1"
"Egypt","2021","Total","70 - 74","25 - 29","2023","46","1"
"Egypt","2021","Total","70 - 74","30 - 34","2023","101","1"
"Egypt","2021","Total","70 - 74","35 - 39","2023","203","1"
"Egypt","2021","Total","70 - 74","40 - 44","2023","316","1"
"Egypt","2021","Total","70 - 74","45 - 49","2023","342","1"
"Egypt","2021","Total","70 - 74","50 - 54","2023","424","1"
"Egypt","2021","Total","70 - 74","55 - 59","2023","486","1"
"Egypt","2021","Total","70 - 74","60 - 64","2023","397","1"
"Egypt","2021","Total","70 - 74","65 - 69","2023","258","1"
"Egypt","2021","Total","70 - 74","70 - 74","2023","131","1"
"Egypt","2021","Total","70 - 74","75 +","2023","18","1"
"Egypt","2021","Total","75 +","Total","2023","1989","1"
"Egypt","2021","Total","75 +","18 - 19","2023","0","1"
"Egypt","2021","Total","75 +","20 - 24","2023","12","1"
"Egypt","2021","Total","75 +","25 - 29","2023","32","1"
"Egypt","2021","Total","75 +","30 - 34","2023","87","1"
"Egypt","2021","Total","75 +","35 - 39","2023","141","1"
"Egypt","2021","Total","75 +","40 - 44","2023","180","1"
"Egypt","2021","Total","75 +","45 - 49","2023","228","1"
"Egypt","2021","Total","75 +","50 - 54","2023","282","1"
"Egypt","2021","Total","75 +","55 - 59","2023","320","1"
"Egypt","2021","Total","75 +","60 - 64","2023","296","1"
"Egypt","2021","Total","75 +","65 - 69","2023","227","1"
"Egypt","2021","Total","75 +","70 - 74","2023","118","1"
"Egypt","2021","Total","75 +","75 +","2023","66","1"
"Egypt","2020","Total","Total","Total","2022","213950","1"
"Egypt","2020","Total","Total","18 - 19","2022","8973","1"
"Egypt","2020","Total","Total","20 - 24","2022","35556","1"
"Egypt","2020","Total","Total","25 - 29","2022","38201","1"
"Egypt","2020","Total","Total","30 - 34","2022","38865","1"
"Egypt","2020","Total","Total","35 - 39","2022","32634","1"
"Egypt","2020","Total","Total","40 - 44","2022","24606","1"
"Egypt","2020","Total","Total","45 - 49","2022","15912","1"
"Egypt","2020","Total","Total","50 - 54","2022","9722","1"
"Egypt","2020","Total","Total","55 - 59","2022","5475","1"
"Egypt","2020","Total","Total","60 - 64","2022","2644","1"
"Egypt","2020","Total","Total","65 - 69","2022","896","1"
"Egypt","2020","Total","Total","70 - 74","2022","334","1"
"Egypt","2020","Total","Total","75 +","2022","132","1"
"Egypt","2020","Total","18 - 19","Total","2022","403","1"
"Egypt","2020","Total","18 - 19","18 - 19","2022","222","1"
"Egypt","2020","Total","18 - 19","20 - 24","2022","145","1"
"Egypt","2020","Total","18 - 19","25 - 29","2022","23","1"
"Egypt","2020","Total","18 - 19","30 - 34","2022","9","1"
"Egypt","2020","Total","18 - 19","35 - 39","2022","2","1"
"Egypt","2020","Total","18 - 19","40 - 44","2022","2","1"
"Egypt","2020","Total","18 - 19","45 - 49","2022","0","1"
"Egypt","2020","Total","18 - 19","50 - 54","2022","0","1"
"Egypt","2020","Total","18 - 19","55 - 59","2022","0","1"
"Egypt","2020","Total","18 - 19","60 - 64","2022","0","1"
"Egypt","2020","Total","18 - 19","65 - 69","2022","0","1"
"Egypt","2020","Total","18 - 19","70 - 74","2022","0","1"
"Egypt","2020","Total","18 - 19","75 +","2022","0","1"
"Egypt","2020","Total","20 - 24","Total","2022","9730","1"
"Egypt","2020","Total","20 - 24","18 - 19","2022","2601","1"
"Egypt","2020","Total","20 - 24","20 - 24","2022","5585","1"
"Egypt","2020","Total","20 - 24","25 - 29","2022","893","1"
"Egypt","2020","Total","20 - 24","30 - 34","2022","343","1"
"Egypt","2020","Total","20 - 24","35 - 39","2022","160","1"
"Egypt","2020","Total","20 - 24","40 - 44","2022","87","1"
"Egypt","2020","Total","20 - 24","45 - 49","2022","36","1"
"Egypt","2020","Total","20 - 24","50 - 54","2022","14","1"
"Egypt","2020","Total","20 - 24","55 - 59","2022","8","1"
"Egypt","2020","Total","20 - 24","60 - 64","2022","2","1"
"Egypt","2020","Total","20 - 24","65 - 69","2022","1","1"
"Egypt","2020","Total","20 - 24","70 - 74","2022","0","1"
"Egypt","2020","Total","20 - 24","75 +","2022","0","1"
"Egypt","2020","Total","25 - 29","Total","2022","29912","1"
"Egypt","2020","Total","25 - 29","18 - 19","2022","3572","1"
"Egypt","2020","Total","25 - 29","20 - 24","2022","13907","1"
"Egypt","2020","Total","25 - 29","25 - 29","2022","9221","1"
"Egypt","2020","Total","25 - 29","30 - 34","2022","1949","1"
"Egypt","2020","Total","25 - 29","35 - 39","2022","701","1"
"Egypt","2020","Total","25 - 29","40 - 44","2022","262","1"
